DATE,signups,facebook_impressions,ppc_impressions,youtube_impressions,facebook_spend,ppc_spend,youtube_spend
2024-11-18,488,750645,371390,837596,10439.13,7184.81,7280.32
2024-11-25,473,686144,543127,1000397,9180.65,8557.2,8874.09
2024-12-02,473,724760,454428,1008450,7258.83,11589.79,8048.25
2024-12-09,489,518768,517961,1035283,5085.81,8081.58,9076.97
2024-12-16,486,582886,599972,1124680,6504.95,10353.35,11026.35
2024-12-23,487,545104,528801,1072393,5594.2,8778.22,8693.51
2024-12-30,491,800124,507470,1248308,8948.21,10785.66,11514.37
2025-01-06,467,700127,407992,1361496,5882.87,7686.77,9700.47
2025-01-13,507,1065245,513946,1544671,11957.97,7784.1,13268.88
2025-01-20,477,793689,429997,1091664,10844.52,7970.07,9720.42
2025-01-27,503,1113527,377164,1201558,11313.53,7201.49,8708.89
2025-02-03,478,1100253,372459,1090983,12292.38,6467.02,9925.9
2025-02-10,507,869489,298631,1317180,8444.88,4646.59,9648.02
2025-02-17,504,715056,393340,1065551,8770.79,6509.74,7666.39
2025-02-24,496,709204,425119,1077561,7964.09,7280.72,8619.2
2025-03-03,483,650655,374853,1022334,8997.84,6764.4,10153.81
2025-03-10,492,679623,399738,915168,7984.35,6779.62,7604.27
2025-03-17,457,810444,463927,947519,8958.15,9032.86,8466.83
2025-03-24,469,659049,424820,1072268,8014.25,6839.65,7793.46
2025-03-31,492,786817,507186,847952,8570.42,7373.07,6849.33
2025-04-07,505,939127,498703,951184,9290.62,8239.19,6490.35
2025-04-14,502,931648,547331,941290,11051.52,11328.55,6992.74
2025-04-21,480,968193,465233,755530,10931.05,7840.88,6675.59
2025-04-28,501,901637,442209,1033913,10548.77,10030.01,8231.61
2025-05-05,500,915168,530771,1277160,10936.76,10075.61,12070.82
2025-05-12,476,845257,358643,1001332,9202.83,5620.35,7807.97
2025-05-19,496,750142,328390,1092793,9006.12,5363.08,8526.04
2025-05-26,486,706463,345089,1097644,9597.47,6379.57,10182.49
2025-06-02,515,563409,423881,1240300,5730.23,6631.5,9117.92
2025-06-09,498,546619,314752,1434324,7425.77,7160.34,9294.76
2025-06-16,503,590241,353216,1435407,6615.8,5657.88,13351.12
2025-06-23,503,783770,406467,1278348,8292.33,7869.96,10756.26
2025-06-30,479,901946,330084,1285282,12999.44,6905.45,7499.37
2025-07-07,485,991298,432377,1302984,11584.33,7688.36,10481.89
2025-07-14,472,840910,453579,1168630,11053.33,7261.02,8877.16
2025-07-21,546,895538,430950,1217110,11177.31,7521.75,11860.54
2025-07-28,473,777410,502745,1134603,7372.4,9413.62,8249.71
2025-08-04,489,866755,550584,1117345,10093.34,10874.87,8289.84
2025-08-11,477,788511,479849,1059613,8570.81,8691.72,7512.23
2025-08-18,468,620477,488954,830210,6136.42,7431.89,5766.59
2025-08-25,460,686927,496011,876714,6439.22,8970.19,6399.58
2025-09-01,433,733833,470379,810934,8529.16,7833.36,5323.03
2025-09-08,441,512335,460787,922539,6254.75,6282.16,6428.99
2025-09-15,432,782436,361735,881180,9364.82,6006.56,5633.75
2025-09-22,453,711067,361820,922710,7916.32,5476.19,6000.13
2025-09-29,444,645691,380605,1065764,6806.74,7297.61,6863.86
2025-10-06,457,985393,432763,1009456,10165.08,9472.46,7549.56
2025-10-13,472,944884,331973,1377841,10236.69,7209.62,10080.71
2025-10-20,457,822878,365340,1006331,8443.0,6157.29,6816.41
2025-10-27,477,735962,274825,1081425,8284.04,4689.95,9168.61
2025-11-03,470,1015574,356294,1280690,11651.21,6904.11,10183.95
2025-11-10,487,738361,455797,1197527,7697.27,9171.81,9062.91
2025-11-17,464,875512,415427,1250483,9824.59,7129.77,9423.67
2025-11-24,507,691685,487623,1522042,7323.29,8638.11,14600.77
2025-12-01,486,642534,449570,1229868,7385.69,10076.6,10133.88
2025-12-08,507,569762,542627,1300472,6898.96,9650.67,11021.99
2025-12-15,509,641118,543055,1116361,7509.89,9247.87,6139.99
2025-12-22,504,704089,494645,1310659,8495.94,9022.24,9628.45
